Account;Name;Rep;Manager;Product;Quantity;Price;Status
714466;Trantow-Barrows;Craig Booker;Debra Henley;CPU;1;30000;presentada
714466;Trantow-Barrows;Craig Booker;Debra Henley;Software;1;10000;presentada
714466;Trantow-Barrows;Craig Booker;Debra Henley;Maintenance;2;5000;pendiente
737550;Fritsch, Russel and Anderson;Craig Booker;Debra Henley;CPU;1;35000;declinada
146832;Kiehn-Spinka;Daniel Hilton;Debra Henley;CPU;2;65000;ganada
218895;Kulas Inc;Daniel Hilton;Debra Henley;CPU;2;40000;pendiente
218895;Kulas Inc;Daniel Hilton;Debra Henley;Software;1;10000;presentada
412290;Jerde-Hilpert;John Smith;Debra Henley;Maintenance;2;5000;pendiente
740150;Barton LLC;John Smith;Debra Henley;CPU;1;35000;declinada
141962;Herman LLC;Cedric Moss;Fred Anderson;CPU;2;65000;ganada
163416;Purdy-Kunde;Cedric Moss;Fred Anderson;CPU;1;30000;presentada
239344;Stokes LLC;Cedric Moss;Fred Anderson;Maintenance;1;5000;pendiente
239344;Stokes LLC;Cedric Moss;Fred Anderson;Software;1;10000;presentada
307599;Kassulke, Ondricka and Metz;Wendy Yule;Fred Anderson;Maintenance;3;7000;ganada
688981;Keeling LLC;Wendy Yule;Fred Anderson;CPU;5;100000;ganada
729833;Koepp Ltd;Wendy Yule;Fred Anderson;CPU;2;65000;declinada
729833;Koepp Ltd;Wendy Yule;Fred Anderson;Monitor;2;5000;presentada
